Cohorte,Histologia,n,P_escamoso_mediana,P_escamoso_min,P_escamoso_max,N_Alta_Confianza,Pct_Alta_Confianza,Pct_Asignadas_Escamoso
GSE30219,neuroendocrino celula grande,56,0.173,0.04,0.922,19,33.9,8.9
GSE30219,basaloide,39,0.937,0.142,0.998,22,56.4,89.7
GSE30219,carcinoide,24,0.144,0.09,0.684,2,8.3,4.2
GSE30219,microcitico (small cell),21,0.272,0.103,0.592,0,0.0,4.8
GSE19188,celula grande,19,0.407,0.019,0.905,2,10.5,31.6
GSE50081,celula grande,7,0.22,0.077,0.987,3,42.9,42.9
GSE30219,otro,4,0.372,0.084,0.903,2,50.0,50.0
GSE30219,celula grande,3,0.109,0.045,0.414,1,33.3,0.0
GSE50081,adenoescamoso,2,0.465,0.081,0.849,1,50.0,50.0
GSE50081,mixto,1,0.163,0.163,0.163,0,0.0,0.0
GSE50081,indeterminado,1,0.074,0.074,0.074,1,100.0,0.0
