Modelo,Cohorte_Test,n_test,AUC,Balanced_Accuracy,Sensibilidad,Especificidad
LASSO_L1,GSE118370,12,1.0,0.9167,1.0,0.8333
LASSO_L1,GSE18842,91,1.0,0.8889,1.0,0.7778
LASSO_L1,GSE19188,156,0.9843,0.9044,0.978,0.8308
LASSO_L1,GSE19804,120,0.9836,0.775,1.0,0.55
LASSO_L1,GSE23066,10,0.44,0.5,1.0,0.0
LASSO_L1,GSE31210,246,0.9934,0.9425,0.885,1.0
LASSO_L1,GSE40791,12,1.0,0.5,1.0,0.0
LASSO_L1,GSE7670,15,1.0,0.75,1.0,0.5
Random_Forest,GSE118370,12,1.0,0.75,1.0,0.5
Random_Forest,GSE18842,91,1.0,0.8333,1.0,0.6667
Random_Forest,GSE19188,156,0.979,0.8121,0.978,0.6462
Random_Forest,GSE19804,120,0.9822,0.8,1.0,0.6
Random_Forest,GSE23066,10,0.58,0.5,1.0,0.0
Random_Forest,GSE31210,246,0.975,0.9418,0.9336,0.95
Random_Forest,GSE40791,12,0.95,0.5,1.0,0.0
Random_Forest,GSE7670,15,1.0,0.9375,1.0,0.875
SVM_lineal,GSE118370,12,0.9722,0.8333,1.0,0.6667
SVM_lineal,GSE18842,91,1.0,0.8778,1.0,0.7556
SVM_lineal,GSE19188,156,0.9887,0.9066,0.967,0.8462
SVM_lineal,GSE19804,120,0.9819,0.8167,0.9833,0.65
SVM_lineal,GSE23066,10,0.72,0.5,1.0,0.0
SVM_lineal,GSE31210,246,0.994,0.9425,0.885,1.0
SVM_lineal,GSE40791,12,1.0,0.7,1.0,0.4
SVM_lineal,GSE7670,15,1.0,1.0,1.0,1.0
