,Fold_GSE118370,Fold_GSE23066,Fold_GSE40791,Fold_GSE30219,Fold_GSE31210,Fold_GSE18842,Fold_GSE50081,Fold_GSE140797,Fold_GSE19804,Fold_GSE7670,Fold_GSE19188,Importancia_Media,Consistencia_Signo
SLC6A4,0.4644743405328822,0.36975935194696513,0.4326394723735208,0.1304388571984429,0.34456485235120043,0.43184864269649403,0.5382605026382968,0.49980327066312497,0.22922562700781762,0.484207926327911,0.6140538226636961,0.4126615151273047,11.0
S100A10,-0.3392365341709459,-0.3045193886716151,-0.4040486236305641,-0.23145096470409843,-0.1617289040736413,-0.2742220604125007,-0.5811557714051063,-0.41394907412123527,-0.28458644782287323,-0.44801823823044046,-0.564939791297649,0.36435052714006094,-11.0
KANK3,0.3291180171851723,0.3409593203001845,0.36437326051582175,0.0,0.4250938879643242,0.3266832855867937,0.21557491303752846,0.343340272653424,0.4465582623474337,0.3361284244658053,0.3258557029849283,0.31397139518558326,10.0
SH3GL3,-0.32146453584741586,-0.2007987186392529,-0.3064711743546025,0.0,-0.4009399226509723,-0.29238781795438323,-0.26823766521251785,-0.32890995377214377,-0.39832238056673613,-0.28166269554647094,-0.23884810659151862,0.27618572464872854,-10.0
HIST1H2BM,0.2962126813454115,0.19840900857112945,0.25801149943045104,0.18941045350906366,0.18708971138561825,0.2995055225924118,0.34555138561143905,0.313583431142831,0.22044974750287613,0.3296286414359262,0.3230174804555578,0.269169960271156,11.0
ZNF702P,0.3700904399221323,0.32761416852676306,0.17889060932792106,0.2572800373441705,0.1993702908120816,0.24346530216113035,0.29763295881332935,0.3394395988679445,0.1676695367355522,0.3697910133882269,0.18622173127821418,0.2670423351979514,11.0
TOX3,0.20783335505386294,0.12340088036744501,0.25720128788170404,0.07268928971648571,0.15066351166733033,0.22613275961457474,0.3539846725375342,0.301252443537182,0.4581811581312006,0.25773790192202095,0.41493591041033145,0.25672847007633376,11.0
NAGLU,0.34024174067662266,0.285531053267762,0.30044927526188236,0.20922138940787938,0.04279077794393597,0.2064882259652828,0.2538140058635072,0.3154273619114573,0.23629029268327528,0.29407131174065754,0.2764857644265116,0.2509828362862522,11.0
CCDC25,-0.281053393425196,-0.4473617507346066,-0.21035213674566716,-0.311655813793457,0.0,-0.2546438051505339,-0.302920306868441,-0.32939111546348004,-0.1240574205585163,-0.1963329092746682,-0.261855213246416,0.24723853320554381,-10.0
RETN,0.16203658605180493,0.22142961089999375,0.21980159880126648,0.0,0.23698196815077013,0.22054729983557586,0.31403698839723676,0.2758182280859783,0.4969017001781029,0.26024436990341426,0.08123302708894514,0.22627557976300802,10.0
DHCR24,-0.25655474340287926,-0.3470836862201729,-0.24976544177269752,-0.15753490436638087,-0.1845321496166427,-0.14536220265793248,-0.1377726425548793,-0.24220241012907193,-0.3971545172697527,-0.2441319014927887,-0.04493288206990515,0.21882068014119127,-11.0
