GENE_SYMBOL,Num_Estudios,LogFC_Medio,Consistencia_Direccional,GSE118370,GSE18842,GSE19188,GSE19804,GSE31210,GSE7670
AKT3,6,-0.7052208226630382,1.0,-1.2651723081427375,-0.3228688087226921,-0.2545688430762218,-0.5574671902759354,-1.0124244741573758,-0.8188233116032659
SOX4,6,1.0181433197782406,1.0,1.1374371643733472,0.939784527993642,1.1270270526499662,0.7663779053051387,0.9950674173655508,1.1431658509817986
CLEC3B,6,-3.3137174527741493,1.0,-1.6494540897453709,-4.436057993043142,-3.8157934214042655,-2.90056863902581,-2.9647124845249184,-4.115718088901389
SGCG,6,-2.9119640641298172,1.0,-4.46899301437037,-1.763748987083512,-1.9824217747546116,-2.1030555883063764,-3.5587387235308734,-3.5948262967331592
DDR1,6,0.9791137631325518,1.0,1.163373405834987,1.271556996270439,0.7915584249541776,0.9253484047345246,0.9099282867892188,0.812917060211964
NFASC,6,-0.8945539072438892,1.0,-1.512203192071758,-0.4121629350868101,-0.3666344139414901,-0.4557166553099296,-1.3602123172656482,-1.260393929787699
SGPL1,6,0.7856488589423387,1.0,0.9343441481878312,1.2197491399905394,0.7843963392661139,0.4979497688539815,0.7726354196890384,0.5048183376665278
FAM189A2,6,-2.200616684075403,1.0,-1.4274736935428969,-3.2369963794884935,-2.86770255898362,-1.8121775909792053,-2.0339693967303365,-1.8253804847278676
TBX2,6,-1.2599140095961439,1.0,-1.4004763658730166,-1.094425448460834,-1.0541990010035929,-0.8465604508724098,-1.5275287296637554,-1.6362940617032553
SH3BP5,6,-1.280036057515512,1.0,-1.1184778184027788,-1.569432334746919,-1.2351829449717715,-1.09297614039383,-1.2789195882935136,-1.3852275182842586
RAMP3,6,-2.458521523195528,1.0,-2.4666856261689807,-2.504314175736109,-2.4871212563595364,-2.0223278482141787,-2.5859456398445344,-2.6847345928498267
TCEAL2,6,-1.9780016065233204,1.0,-2.1735908367691783,-1.6954183542167076,-1.911907163259184,-1.894458591285188,-1.845848485033974,-2.34678620857569
CLTC,6,0.3256989665768398,1.0,0.5599264346680393,0.1794393346810538,0.0643273722444056,0.1457733842660191,0.3576381675558782,0.6470891060456427
NEK3,6,-0.7813098180946016,1.0,-1.388364093779762,-0.6378220528077714,-0.337319980036092,-0.5484123700257388,-0.9448242239069772,-0.8311161880112685
GPX3,6,-2.1346976340826984,1.0,-1.9750985077546288,-3.049000217109807,-2.5957657115839625,-1.6659468272099218,-1.6934143733377969,-1.8289601675000728
ACKR4,6,-2.1674003690037713,1.0,-1.788565552700616,-1.8967232350563623,-2.4172015639723914,-1.7990961087773316,-1.9573784220191743,-3.145437331496753
FAM65A,6,-0.8996545770947768,1.0,-1.680701965539022,-0.6903791962748453,-0.6344232002100431,-0.646707380939068,-0.9193568708613054,-0.8263588487443769
SH3GL3,6,-0.8183164910854067,1.0,-1.352212159025573,-0.3926353321439126,-0.3746438551380109,-0.5141640117019213,-1.4088005650533857,-0.8674430234496366
OR7E47P,6,-1.5206427933095623,1.0,-1.785418663462302,-1.9400714271545887,-1.6815729478793884,-1.2461538431328965,-1.1122897395145035,-1.3583501387136945
TCF21,6,-2.70346134960336,1.0,-2.340166436781897,-3.20500310146637,-2.993613172649888,-2.145605714932037,-2.5678504781713,-2.968529193618669
RASSF2,6,-1.3283496239838761,1.0,-1.2805735462169316,-1.9186746610524896,-1.376112278642858,-1.1771921355080472,-1.1240528779016294,-1.0934922445813005
TCF4,6,-0.8557716061233839,1.0,-1.351382807956348,-0.5143479692443762,-0.5636564465995983,-0.909781203887519,-0.9639015370445438,-0.8315596720079181
DACH1,6,-2.014697362864333,1.0,-2.0351811278604517,-2.0015441563414473,-1.785583146149094,-1.787571765255514,-2.501338428130349,-1.9769655534491424
ITM2A,6,-1.7023052974467758,1.0,-1.7743473726725083,-2.171512665175765,-1.5233261776927671,-1.66547699326693,-1.526235377522763,-1.5529331983499208
TCRDV2,6,-1.2949731290744222,1.0,-1.8222214496517255,-1.1299728058666911,-0.9119663192826332,-1.6939551933263708,-0.8252100114951135,-1.386512994823999
TRPC6,6,-1.3771064030159037,1.0,-2.3564933282186944,-1.3241910934060668,-1.304275529427502,-1.0990481941624628,-1.246175972194674,-0.9324543006860226
GPR125,6,0.4982059198676576,1.0,0.915796459933862,0.4308200585824426,0.1838452635904304,0.3256347736513145,0.1609511187820036,0.9721878446658928
CLEC1A,6,-1.7038482735162361,1.0,-2.6097120411632577,-1.7358064554519048,-1.5136107909401917,-1.4842761067409675,-1.6564909219594537,-1.2231933248416418
ARHGAP6,6,-1.6773859855559685,1.0,-2.1260018017184743,-1.43606866777632,-1.3165792063462067,-1.0782283121893943,-1.9567618438905896,-2.150676081414826
PDE8B,6,-0.9705495048257045,1.0,-1.2993995870425472,-0.8209785974778119,-0.8004976456616065,-0.8851678013920221,-1.279248813034096,-0.7380045843461431
SPARCL1,6,-1.4173407833661518,1.0,-1.5605839181216936,-1.7074891830618562,-1.644777692349107,-1.29180388057806,-1.1019925666976995,-1.197397459388494
RTN1,6,-1.2773923762502883,1.0,-1.5604534990088403,-1.514604247219654,-1.5158474739475585,-1.121075210447536,-0.8988692376591825,-1.0535045892189592
NME1,6,1.5610452583835395,1.0,1.7456410311557518,1.9316914174325657,1.8933045041857168,1.1391374881709757,1.051248852512149,1.605248256844078
ERG,6,-1.411690240994,1.0,-1.9045175627072313,-1.188080821249228,-1.2284145346076871,-1.3171365126738008,-1.6491309994509118,-1.182861015275141
TMEM74B,6,-1.4697303794055963,1.0,-2.577614339889972,-1.6097371343509863,-1.0022656372176075,-1.0115678973418136,-1.3457193854055909,-1.2714778822276092
DIAPH2,6,-0.7732774766477672,1.0,-1.2573927363459028,-0.6821584444505389,-0.7700338185788392,-0.4150683159915331,-0.6983111221922407,-0.8167004223275489
TRHDE,6,-1.9700972674506687,1.0,-1.9736896782870368,-1.343982758380888,-1.5291287973760808,-1.596782863194493,-2.28567639727709,-3.091323110188422
PTK7,6,0.6905020659021351,1.0,1.4721315321351396,0.4567588855849394,0.2749267891028651,0.5367574423613322,0.5642431911577397,0.8381945550707943
SPOCK2,6,-1.8378648775467905,1.0,-2.2233618643937367,-1.8605710292484936,-1.5127702989643483,-1.8955250859743753,-1.6451269431599993,-1.8898340435397891
CISD1,6,0.6694500057616771,1.0,0.8583448974768508,0.7589556034429217,0.6601749813630713,0.4510872315851504,0.657375552246446,0.6307617684556224
VIPR1,6,-2.4643121922791367,1.0,-3.139314170486111,-2.4584709521428527,-2.8970098685208585,-1.921275218863821,-2.108478467056708,-2.261324476604468
MACF1,6,-0.8989637219487056,1.0,-1.3566856086334962,-0.6784397388372181,-0.8392406056963193,-0.5278947901592907,-0.7565418473483305,-1.234979741017579
PTPRB,6,-2.042151059675971,1.0,-2.590322359266475,-1.900523314826608,-1.926866213142888,-1.6823204648667431,-2.2067327741032035,-1.9461412318499096
ARHGEF6,6,-1.24704765829593,1.0,-1.7023665787984008,-1.5960764890794543,-1.400346584668865,-0.9255616731271754,-0.9043277376474704,-0.9536068864542138
NKG7,6,-1.7053080258272388,1.0,-1.921484448096891,-1.7165232185827346,-1.157404204465312,-1.8817804129511584,-1.1024402701804323,-2.4522156006869062
SPDEF,6,1.0634445173974614,1.0,2.3588343979232773,0.2592850607727133,0.3598014919874065,0.6023189373150188,1.4252809695973945,1.375146246788958
PTRF,6,-1.349496169110781,1.0,-1.8610336959854512,-1.039658317842429,-1.3188084486911893,-1.3844897432716827,-1.3687962786710202,-1.1241905302029132
TAL1,6,-1.1427273117411034,1.0,-1.356266429259259,-0.672139925601571,-0.6081401518359266,-0.7233542808294455,-1.937706780011589,-1.5587563029088294
IL7R,6,-1.3743643670680907,1.0,-2.12789251647542,-1.1925347080781954,-1.5047279159183915,-1.3389199680588053,-0.8966461747147836,-1.185464919162948
FABP4,6,-3.5176409080226634,1.0,-4.368843906226852,-3.4511271081488895,-2.9412679303758087,-2.553788594734778,-3.598654205384321,-4.192163703265331
FAF2,6,0.43632774135784147,1.0,0.6209156927662018,0.3602639909720455,0.1790535096429777,0.4596668752920241,0.3777765605344196,0.62028981893938
TMEM47,6,-1.6181989095874172,1.0,-2.224968642591831,-1.609641277987432,-1.4080473105367572,-1.4085558338493005,-1.378305809084308,-1.679674583474874
CLDN18,6,-4.026399992364,1.0,-3.368620586009701,-5.652749269818935,-4.07578929719836,-3.274494273257086,-3.5164501686490652,-4.270296359250853
