GENE_SYMBOL,Puntuacion_Consenso,LogFC_Medio,Importancia_Media,Consistencia_Signo,Num_Estudios
SLC6A4,0.8901759241618121,-3.5848062434756662,0.4126615151273047,11.0,6
KANK3,0.6622163963677864,-2.5985931991661633,0.3139713951855832,10.0,6
TOX3,0.5669062705062242,2.3624457695311034,0.2567284700763337,11.0,6
S100A10,0.5630238014989282,-1.1405538364486822,0.3643505271400609,-11.0,4
COL10A1,0.5556852365764905,3.8232878048416254,0.1149682232963338,8.0,5
AGER,0.5,-4.584141699035543,0.0,0.0,5
FAM107A,0.4943968758951368,-3.3168152979612255,0.1103228949124974,10.0,6
SPINK1,0.49413026906571644,3.114826521377867,0.1284233641435263,11.0,5
GPM6A,0.4624885557948408,-2.98409901639476,0.1141657943878107,9.0,6
TMEM100,0.45628590945958647,-4.1863688040561735,0.0,0.0,6
MMP12,0.44698336330835997,4.101721024186851,0.0,0.0,5
LAMP3,0.4463501894514117,-2.2968571851962634,0.163179684792436,-10.0,5
TNNC1,0.4422157709325308,-4.058338696018273,0.0,0.0,5
PTPRB,0.44084611338871804,-2.042151059675971,0.1817390459437973,10.0,6
CLDN18,0.4387057997884217,-4.026399992364,0.0,0.0,6
WIF1,0.43808858954463376,-4.020783736771184,0.0,0.0,5
MMP1,0.43683161905258,4.00934603361079,0.0,0.0,5
RETN,0.4338719075100349,-1.4876619054970974,0.226275579763008,10.0,4
FCN3,0.4307008030709943,-3.953559160512593,0.0,0.0,5
SFTPC,0.4225279582221036,-3.879191007919895,0.0,0.0,5
SH3GL3,0.42078624946809673,-0.8183164910854067,0.2761857246487285,-10.0,6
AKR1B10,0.4194790529425103,3.029570437935419,0.0745447753265142,8.0,4
CPB2,0.41424762698187867,-3.803844791446116,0.0,0.0,4
COL11A1,0.40374622887427497,3.604331838550726,0.0094289015514969,2.0,4
MT1M,0.4018464454367408,-3.69100122491203,0.0,0.0,5
CA4,0.4005500606225868,-3.5052753200419007,0.0157755173000096,4.0,5
KRT6A,0.39703942802013603,2.713021043281768,0.0847360604347567,9.0,4
TMPRSS4,0.39692630315711086,3.6462307810097494,0.0,0.0,5
CXCL13,0.3916556875310345,3.281668526402221,0.0287160597482427,3.0,5
SOSTDC1,0.38867438852480196,-3.571143139202777,0.0,0.0,5
SCGB1A1,0.38590798813312277,-3.5459704985538085,0.0,0.0,4
LRRC31,0.38561508778666487,1.9225988984362723,0.146999062917968,11.0,2
KRT5,0.38331022141404497,3.5223323266153272,0.0,0.0,2
FABP4,0.38279464808134384,-3.5176409080226634,0.0,0.0,6
SPP1,0.38083548831073794,3.4998136892918845,0.0,0.0,5
PTPRZ1,0.37879259346427985,1.943113608936154,0.1395076043986447,10.0,3
GREM1,0.37478285998214317,3.4447382785322005,0.0,0.0,5
ELMO1,0.36753702658849546,-0.9797126826523712,0.2175991810464576,-10.0,5
HIST1H2BM,0.36698884125514775,0.4061420406333887,0.269169960271156,11.0,4
FIGF,0.3652856293948972,-3.358318983099692,0.0,0.0,5
MMP7,0.36383031694840473,1.61023774949429,0.1573509377271032,10.0,5
CLEC3B,0.3603840502287429,-3.3137174527741493,0.0,0.0,6
ZNF702P,0.35618030491174846,0.3312482927228766,0.2670423351979514,11.0,2
RAB11FIP1,0.35310405279699764,-1.1140176044510717,0.1935057765573511,-11.0,5
CYP4B1,0.3473712496640438,-3.1953085075480283,0.0,0.0,4
DHCR24,0.34561723393929594,-0.7667878962760412,0.2188206801411912,-11.0,3
EDNRB,0.34040220230940077,-3.131894214645334,0.0,0.0,6
FOSB,0.33763051814994754,-3.106673494771157,0.0,0.0,5
ABCA4,0.32639169628684916,0.8919805830640988,0.1915983476309042,11.0,4
PPBP,0.32632827339146225,-3.0038296162466382,0.0,0.0,5
ADH1B,0.3216774552233639,-2.961509865706779,0.0,0.0,5
SFTPA1,0.3216366425990761,-2.9513312555841447,0.00088952258552,-1.0,4
NELL1,0.31889958560889653,0.704284209523416,0.2024391124039822,11.0,4
NAGLU,0.3175789907728642,0.1570592325975666,0.2509828362862522,11.0,3
SFTPD,0.3169327205799555,-2.91833552965894,0.0,0.0,5
SGCG,0.3162325149487255,-2.9119640641298172,0.0,0.0,6
LEPREL2,0.31595948882361025,0.5849078321616602,0.2108400934984351,11.0,3
CCDC25,0.3146641064654605,-0.1718174781854483,0.2472385332055438,-10.0,3
AQP4,0.3142910556892071,-2.8942979097938557,0.0,0.0,4
IL6,0.31317190113090404,-2.8841142517769054,0.0,0.0,4
ACAA2,0.3131174795063242,-0.4810505055156415,0.2179144410159599,-11.0,4
S1PR1,0.312217042226803,-2.0250992256429035,0.0771251229643387,8.0,6
SDPR,0.3120671698886761,-2.874061837579042,0.0,0.0,5
C1orf106,0.3113350617658755,1.7816493816579444,0.0984782544211569,8.0,4
PSD3,0.3081137904037934,0.6666541642562162,0.1969504154191714,11.0,5
CST1,0.3072589814679638,2.4755834236822425,0.0321739280309766,5.0,4
NFASC,0.3042605320553323,-0.8945539072438892,0.1730995860220481,-9.0,6
MMP13,0.3016462396876861,2.7792374108740288,0.0,0.0,5
FMO2,0.3013595424520325,-2.7766286321484808,0.0,0.0,5
CHRDL1,0.3009967773560387,-2.7733276799692854,0.0,0.0,5
FLRT3,0.3006099826501926,-1.8670110072061563,0.0818842478059378,-8.0,5
MME,0.29984164878584063,-2.7628166792882514,0.0,0.0,6
DCC,0.2989720277211417,-0.6116161352517984,0.1943974911450754,-10.0,3
