Cohorte_Test,n_test,Metodo,AUC_ref,BalAcc_ref,Sens_ref,Espec_ref,AUC_cal,BalAcc_cal,Sens_cal,Espec_cal,Delta_BalAcc
GSE118370,12,isotonica,1.0,0.9167,1.0,0.8333,1.0,0.8333,1.0,0.6667,-0.0833
GSE18842,91,isotonica,1.0,0.8889,1.0,0.7778,1.0,0.9111,1.0,0.8222,0.0222
GSE19188,156,isotonica,0.9843,0.9044,0.978,0.8308,0.9761,0.7044,0.978,0.4308,-0.2
GSE19804,120,isotonica,0.9836,0.775,1.0,0.55,0.9747,0.8167,1.0,0.6333,0.0417
GSE23066,10,isotonica,0.44,0.5,1.0,0.0,0.68,0.5,1.0,0.0,0.0
GSE31210,246,isotonica,0.9934,0.9425,0.885,1.0,0.9914,0.9646,0.9292,1.0,0.0221
GSE40791,12,isotonica,1.0,0.5,1.0,0.0,1.0,0.75,1.0,0.5,0.25
GSE7670,15,isotonica,1.0,0.75,1.0,0.5,1.0,1.0,1.0,1.0,0.25
GSE118370,12,platt,1.0,0.9167,1.0,0.8333,1.0,0.6667,1.0,0.3333,-0.25
GSE18842,91,platt,1.0,0.8889,1.0,0.7778,1.0,0.5333,1.0,0.0667,-0.3556
GSE19188,156,platt,0.9843,0.9044,0.978,0.8308,0.9816,0.5692,1.0,0.1385,-0.3352
GSE19804,120,platt,0.9836,0.775,1.0,0.55,0.9869,0.5583,1.0,0.1167,-0.2167
GSE23066,10,platt,0.44,0.5,1.0,0.0,0.64,0.5,1.0,0.0,0.0
GSE31210,246,platt,0.9934,0.9425,0.885,1.0,0.9947,0.969,0.9381,1.0,0.0265
GSE40791,12,platt,1.0,0.5,1.0,0.0,1.0,0.5,1.0,0.0,0.0
GSE7670,15,platt,1.0,0.75,1.0,0.5,1.0,0.8125,1.0,0.625,0.0625
