Cohorte,Histologia,n,P_escamoso_mediana,P_escamoso_min,P_escamoso_max,N_Alta_Confianza,Pct_Alta_Confianza,Pct_Asignadas_Escamoso
GSE30219,neuroendocrino celula grande,56,0.174,0.036,0.914,18,32.1,10.7
GSE30219,basaloide,39,0.922,0.112,0.998,22,56.4,89.7
GSE30219,carcinoide,24,0.177,0.082,0.647,2,8.3,4.2
GSE30219,microcitico (small cell),21,0.26,0.097,0.604,1,4.8,4.8
GSE19188,celula grande,19,0.408,0.014,0.892,1,5.3,42.1
GSE50081,celula grande,7,0.214,0.071,0.987,3,42.9,42.9
GSE30219,otro,4,0.373,0.085,0.896,2,50.0,50.0
GSE30219,celula grande,3,0.101,0.045,0.461,1,33.3,0.0
GSE50081,adenoescamoso,2,0.465,0.073,0.857,1,50.0,50.0
GSE50081,mixto,1,0.176,0.176,0.176,0,0.0,0.0
GSE50081,indeterminado,1,0.07,0.07,0.07,1,100.0,0.0
