Cohorte_Test,n_test,n_Sano,n_Enfermo,n_train,Evaluable,Baseline_Mayoritaria,Accuracy,Balanced_Accuracy,AUC,Sensibilidad,Especificidad,Ganancia_vs_Baseline,Supera_Baseline,Genes_Seleccionados
GSE118370,12,6,6,1145,True,0.5,0.9167,0.9167,1.0,1.0,0.8333,0.4167,True,376
GSE140797,7,0,7,1150,False,1.0,0.8571,,,,,-0.1429,False,363
GSE18842,91,45,46,1066,True,0.5055,0.8901,0.8889,1.0,1.0,0.7778,0.3846,True,343
GSE19188,156,65,91,1001,True,0.5833,0.9167,0.9044,0.9843,0.978,0.8308,0.3333,True,323
GSE19804,120,60,60,1037,True,0.5,0.775,0.775,0.9836,1.0,0.55,0.275,True,307
GSE23066,10,5,5,1147,True,0.5,0.5,0.5,0.44,1.0,0.0,0.0,False,362
GSE30219,307,0,307,850,False,1.0,0.9414,,,,,-0.0586,False,286
GSE31210,246,20,226,911,True,0.9187,0.8943,0.9425,0.9934,0.885,1.0,-0.0244,False,318
GSE40791,12,10,2,1145,True,0.8333,0.1667,0.5,1.0,1.0,0.0,-0.6667,False,342
GSE50081,181,0,181,976,False,1.0,0.9669,,,,,-0.0331,False,332
GSE7670,15,8,7,1142,True,0.5333,0.7333,0.75,1.0,1.0,0.5,0.2,True,358
