ID_REF,GSE30219,GSE50081,GSE19188,d_Media,d_Minima_Abs,Direccion
DSG3,4.877554,2.569206,5.0814095,4.1760564,2.569206,escamoso
KRT5,6.060813,2.4617255,3.3776474,3.9667284,2.4617255,escamoso
CALML3,3.7282035,2.3730605,2.8427918,2.9813519,2.3730605,escamoso
KRT6B,4.1607246,2.3126607,2.791563,3.088316,2.3126607,escamoso
PKP1,3.68984,2.3012345,4.145974,3.3790162,2.3012345,escamoso
FAT2,3.7890594,2.2774076,3.019384,3.0286171,2.2774076,escamoso
DAPL1,3.4412894,2.2083495,4.0490074,3.2328823,2.2083495,escamoso
TRIM29,3.6251473,2.175046,2.5787506,2.7929814,2.175046,escamoso
CLCA2,4.6467433,2.1310484,3.1751485,3.3176467,2.1310484,escamoso
DSC3,4.2848444,2.110762,4.9975786,3.7977283,2.110762,escamoso
S1PR5,2.9074001,2.1083913,2.7207923,2.5788612,2.1083913,escamoso
KRT6A,3.6614027,2.0848024,2.4088295,2.718345,2.0848024,escamoso
KRT13,2.7417572,2.060212,2.870387,2.557452,2.060212,escamoso
SERPINB5,3.3658829,2.0447962,2.0438764,2.4848518,2.0438764,escamoso
TP63,3.936911,2.0434892,3.628234,3.202878,2.0434892,escamoso
GJB5,3.8906856,2.0197368,2.5503666,2.820263,2.0197368,escamoso
KRT16,3.2117553,2.0085783,2.1370819,2.4524717,2.0085783,escamoso
BNC1,3.3374548,1.977205,2.578741,2.6311338,1.977205,escamoso
CERS3,2.7777956,1.9693663,2.3915532,2.3795717,1.9693663,escamoso
TMEM40,3.2686267,1.9693333,2.183273,2.4737444,1.9693333,escamoso
JUP,3.3728178,1.9581944,2.0904872,2.473833,1.9581944,escamoso
VSNL1,3.3078756,1.9573708,2.7754612,2.6802359,1.9573708,escamoso
GBP6,3.2328768,1.9467248,4.1621494,3.113917,1.9467248,escamoso
PITX1,2.555707,1.9093244,2.1048522,2.1899612,1.9093244,escamoso
NTRK2,2.885282,1.8998307,2.6321707,2.4724278,1.8998307,escamoso
GJB6,2.5812583,1.899288,2.9100223,2.463523,1.899288,escamoso
CYP2S1,2.1457324,1.8918263,2.195033,2.0775306,1.8918263,escamoso
SERPINB13,3.2010238,1.8913583,2.8219776,2.63812,1.8913583,escamoso
PERP,3.231477,1.8786374,2.1962337,2.4354494,1.8786374,escamoso
FOXE1,2.5162683,1.8727624,2.8913946,2.4268084,1.8727624,escamoso
ABCC5,2.2090237,1.8664969,2.8561614,2.3105605,1.8664969,escamoso
BICD2,2.7051384,1.8351845,2.2551265,2.2651498,1.8351845,escamoso
PTHLH,2.6620507,1.8238618,2.0708854,2.1855993,1.8238618,escamoso
SLC2A1,3.100556,1.8223453,1.9816072,2.301503,1.8223453,escamoso
KRT14,2.482388,1.8068053,1.8418624,2.0436852,1.8068053,escamoso
BMP7,2.7072732,1.802526,3.1997876,2.5698621,1.802526,escamoso
XXYLT1,2.9509258,1.7994267,2.3865638,2.378972,1.7994267,escamoso
MIR205HG,3.4905715,1.7968757,2.1298175,2.4724214,1.7968757,escamoso
ATP1B3,2.770828,1.7967948,2.1762488,2.2479572,1.7967948,escamoso
PVRL1,2.7563,1.7956334,2.316811,2.2895815,1.7956334,escamoso
FAM83B,3.6099005,1.7929674,2.7251823,2.7093499,1.7929674,escamoso
RAPGEFL1,2.5657794,1.7918193,1.9833905,2.113663,1.7918193,escamoso
ST6GALNAC2,2.8257816,1.7869447,2.2338746,2.2822,1.7869447,escamoso
ADH7,2.5473456,1.7628103,2.705012,2.3383894,1.7628103,escamoso
CELSR2,2.6187224,1.7602696,1.7872236,2.0554054,1.7602696,escamoso
ARTN,2.2661147,1.7521462,2.1375217,2.0519276,1.7521462,escamoso
JAG1,3.3534207,1.7514325,2.2159634,2.440272,1.7514325,escamoso
DENND2C,2.814367,1.7426577,2.5498142,2.3689463,1.7426577,escamoso
GRHL3,2.7088728,1.7200497,2.188459,2.2057939,1.7200497,escamoso
NFE2L2,2.2331958,1.7198943,1.9813426,1.9781443,1.7198943,escamoso
IGSF11,2.1614332,1.7168708,1.7181896,1.865498,1.7168708,escamoso
GPC1,3.5721786,1.8740649,1.7153026,2.387182,1.7153026,escamoso
SLC9A3R1,2.199186,1.7146963,1.9347856,1.949556,1.7146963,escamoso
DDAH1,-2.3614082,-1.70793,-1.753762,-1.9410334,1.70793,adenocarcinoma
KRT7,-1.7028993,-1.7566019,-2.1444287,-1.8679767,1.7028993,adenocarcinoma
ADAM23,2.3250566,1.7017173,2.2864451,2.1044064,1.7017173,escamoso
IRF6,2.8028362,1.6955509,1.7967253,2.0983708,1.6955509,escamoso
CHRM3,1.9331058,1.6935217,1.8727037,1.8331103,1.6935217,escamoso
SLC6A10P,2.7944922,1.6905993,2.7860115,2.423701,1.6905993,escamoso
SPRR1A,2.8879445,1.6803718,2.5492349,2.372517,1.6803718,escamoso
NMNAT3,1.9599919,1.6774713,2.091821,1.9097614,1.6774713,escamoso
SLC6A8,2.760768,1.6767634,2.6592598,2.365597,1.6767634,escamoso
CSTA,3.5589201,1.6753603,2.8748653,2.7030487,1.6753603,escamoso
LOC344887,1.7425039,1.6733679,2.0218391,1.8125702,1.6733679,escamoso
DMRT2,2.154602,1.6626174,2.4138618,2.077027,1.6626174,escamoso
PCYT1A,2.49607,1.6614789,2.2642643,2.1406043,1.6614789,escamoso
WDR72,2.6759448,1.7137798,1.6608793,2.0168679,1.6608793,escamoso
PTPRZ1,2.3416553,1.6604928,3.664505,2.555551,1.6604928,escamoso
UGT1A1,1.9652122,1.7793767,1.6582818,1.8009568,1.6582818,escamoso
NKX2-1,-2.5351384,-1.6578962,-1.7667433,-1.9865927,1.6578962,adenocarcinoma
DQX1,1.6515257,1.7970054,1.7650225,1.7378511,1.6515257,escamoso
LOC100506374,1.8605361,1.6429707,1.700898,1.7348017,1.6429707,escamoso
C10orf99,1.7999094,1.6294004,1.9165508,1.7819535,1.6294004,escamoso
ABCC1,2.0373375,1.6183238,1.795406,1.8170224,1.6183238,escamoso
TPRG1,2.1436555,1.6141423,1.9261206,1.8946395,1.6141423,escamoso
FAM83C,2.3800507,1.6092514,2.7696378,2.25298,1.6092514,escamoso
LOC102724257,-2.3463385,-1.6089365,-1.7589235,-1.9047328,1.6089365,adenocarcinoma
S100A2,3.070155,1.602887,1.7650633,2.146035,1.602887,escamoso
TINCR,2.4597774,1.6005669,1.7561809,1.9388417,1.6005669,escamoso
COL7A1,3.514629,1.79054,1.6005286,2.3018992,1.6005286,escamoso
COL4A6,2.527678,1.629286,1.5935214,1.9168285,1.5935214,escamoso
ANXA8,3.6373763,1.7755224,1.5904331,2.3344438,1.5904331,escamoso
ULBP2,2.7922494,1.5854505,1.7544825,2.0440607,1.5854505,escamoso
TMEM125,-2.3513002,-1.5853734,-1.8779898,-1.9382211,1.5853734,adenocarcinoma
PRIMA1,1.9832951,1.5815856,1.7799658,1.7816156,1.5815856,escamoso
TRIM7,1.9248556,1.5782288,1.6328429,1.7119757,1.5782288,escamoso
KRT15,2.692037,1.5764955,2.6453598,2.304631,1.5764955,escamoso
NRARP,2.3679497,1.7129782,1.5741639,1.8850306,1.5741639,escamoso
SOX15,2.6585276,1.5714332,1.9327016,2.054221,1.5714332,escamoso
MICALL1,3.1324937,1.5691181,1.8504276,2.1840131,1.5691181,escamoso
SIAH2,2.437487,1.5645311,1.624217,1.8754116,1.5645311,escamoso
MUC1,-1.9024781,-1.5530751,-1.8345025,-1.7633518,1.5530751,adenocarcinoma
ARHGEF4,2.1643665,1.5530379,1.5677502,1.7617182,1.5530379,escamoso
CRIP1,-1.6540002,-1.5504963,-1.7583745,-1.6542902,1.5504963,adenocarcinoma
MIR205,2.67898,1.8757637,1.5504527,2.0350654,1.5504527,escamoso
RHCG,1.8973112,1.8088835,1.55,1.7520651,1.55,escamoso
SPRR3,3.1612198,1.5476458,2.5554025,2.4214227,1.5476458,escamoso
LYPD3,2.754523,1.5448198,1.5436611,1.9476681,1.5436611,escamoso
TMEM246,1.9404685,1.5376536,1.9699979,1.81604,1.5376536,escamoso
DVL3,2.0744221,1.537618,1.7201147,1.7773849,1.537618,escamoso
COL4A5,2.4119747,1.5317534,1.6410769,1.8616017,1.5317534,escamoso
SOX2,2.0393703,1.5272722,2.1716533,1.9127651,1.5272722,escamoso
TMEM117,2.6135435,1.523552,1.9410578,2.026051,1.523552,escamoso
CGN,-2.629909,-1.5193204,-1.6313796,-1.9268698,1.5193204,adenocarcinoma
LIMCH1,-2.1919959,-1.5178049,-1.7107029,-1.8068346,1.5178049,adenocarcinoma
SPRR2B,2.6945248,1.5121633,2.2346995,2.147129,1.5121633,escamoso
CENPW,2.0585802,1.5108453,1.8376788,1.8023682,1.5108453,escamoso
MARK1,2.0774043,1.5048888,1.9096675,1.8306535,1.5048888,escamoso
PLD1,2.1229439,1.499463,1.8201396,1.8141823,1.499463,escamoso
KCTD1,2.359119,1.493871,1.8075114,1.8868338,1.493871,escamoso
PTDSS1,2.295116,1.4935176,2.2165506,2.001728,1.4935176,escamoso
SFTA2,-2.253292,-1.4886007,-1.5667669,-1.7695532,1.4886007,adenocarcinoma
SFTA3,-2.092628,-1.5337074,-1.4869767,-1.7044374,1.4869767,adenocarcinoma
PIGX,2.646114,1.4861622,2.1763859,2.1028874,1.4861622,escamoso
JARID2,1.5834107,1.48532,1.7673802,1.6120371,1.48532,escamoso
LPIN2,-2.258219,-1.4849199,-1.6406898,-1.7946095,1.4849199,adenocarcinoma
EIF2B5,1.9446406,1.4848151,1.6643003,1.6979188,1.4848151,escamoso
NCBP2-AS2,2.3580084,1.4786166,1.5769541,1.8045263,1.4786166,escamoso
BCL11A,1.9447464,1.4744582,2.1344984,1.8512344,1.4744582,escamoso
STON2,2.9331708,1.472336,1.6038554,2.0031207,1.472336,escamoso
CYB5R2,1.5319492,1.4675479,1.8422428,1.6139132,1.4675479,escamoso
NUDT11,2.2298174,1.464331,1.7763023,1.8234836,1.464331,escamoso
PSMD2,2.140395,1.4626575,1.9034483,1.8355002,1.4626575,escamoso
AKR1B10,1.6167448,1.4613748,1.6559025,1.5780073,1.4613748,escamoso
CAPNS2,2.447776,1.4576323,2.7317815,2.2123966,1.4576323,escamoso
PRR15L,-1.8597726,-1.4569864,-1.855074,-1.7239443,1.4569864,adenocarcinoma
FGFBP1,2.2660165,1.4560102,2.395219,2.0390818,1.4560102,escamoso
FOXD1,2.7942128,1.593762,1.4548061,1.9475937,1.4548061,escamoso
CHST7,1.6435273,1.4537781,2.2364044,1.7779032,1.4537781,escamoso
ICA1,-2.165315,-1.4534528,-1.6525191,-1.7570957,1.4534528,adenocarcinoma
A2ML1,2.089452,1.4520284,1.5732261,1.7049022,1.4520284,escamoso
DLX5,2.4551933,1.4500705,1.8333225,1.9128622,1.4500705,escamoso
NTS,1.7077365,1.4498297,1.4944257,1.550664,1.4498297,escamoso
E2F7,2.3504074,1.4474589,1.7078942,1.8352536,1.4474589,escamoso
TMC5,-2.1357477,-1.4440254,-1.6832223,-1.7543317,1.4440254,adenocarcinoma
ACSL5,-2.660331,-1.4418675,-1.9570364,-2.019745,1.4418675,adenocarcinoma
TPRXL,2.2652872,1.4401268,1.6741377,1.7931838,1.4401268,escamoso
TBCCD1,2.0451896,1.5586519,1.436088,1.6799765,1.436088,escamoso
MLPH,-2.2558093,-1.4330311,-1.8075473,-1.8321291,1.4330311,adenocarcinoma
KLHL13,2.0555806,1.4214513,2.3870332,1.9546884,1.4214513,escamoso
RNF7,2.0234654,1.4195393,1.7879671,1.7436572,1.4195393,escamoso
USP31,2.318974,1.4177741,1.4428575,1.7265352,1.4177741,escamoso
COQ3,1.8093108,1.4154822,1.6933601,1.6393843,1.4154822,escamoso
LOC440173,2.0482106,1.4102974,1.5494193,1.6693091,1.4102974,escamoso
LPCAT1,-2.1648605,-1.4089723,-1.4995648,-1.6911325,1.4089723,adenocarcinoma
FXYD3,1.5617785,1.5252427,1.4085544,1.4985253,1.4085544,escamoso
KCTD15,2.0153449,1.4079522,1.6540195,1.6924387,1.4079522,escamoso
SMIM14,-2.2816052,-1.4074888,-1.517416,-1.7355033,1.4074888,adenocarcinoma
TTLL12,2.353105,1.4379511,1.4058129,1.7322897,1.4058129,escamoso
MRAP2,2.296625,1.4032923,1.8665317,1.855483,1.4032923,escamoso
PARD6G,2.2328835,1.4018661,1.8828564,1.8392019,1.4018661,escamoso
PCDH19,2.0998049,1.3983266,1.4615611,1.6532308,1.3983266,escamoso
GPX2,1.3927253,1.4371574,1.5785403,1.4694743,1.3927253,escamoso
SETD8,2.6447644,1.3919467,1.739337,1.9253494,1.3919467,escamoso
TMPRSS11D,2.3170948,1.3829892,2.4617105,2.0539315,1.3829892,escamoso
GINS3,1.8323293,1.3804603,1.6763172,1.6297022,1.3804603,escamoso
CAPN8,-1.9439095,-1.3766264,-1.4466872,-1.5890745,1.3766264,adenocarcinoma
CD55,-1.6889117,-1.3752521,-1.5577867,-1.54065,1.3752521,adenocarcinoma
SELENBP1,-1.7463171,-1.3748407,-1.5080321,-1.5430633,1.3748407,adenocarcinoma
TSLP,1.6292871,1.3881433,1.3736737,1.4637012,1.3736737,escamoso
FST,2.378939,1.3696755,2.9998534,2.249489,1.3696755,escamoso
NDRG4,1.9529421,1.5798295,1.3686792,1.6338168,1.3686792,escamoso
SMPDL3B,-2.319409,-1.3672858,-1.6878525,-1.7915157,1.3672858,adenocarcinoma
MEIS3P1,-1.7151514,-1.3964524,-1.3633864,-1.4916633,1.3633864,adenocarcinoma
TENM2,2.8422565,1.9109305,1.3633605,2.038849,1.3633605,escamoso
RORC,-2.3295128,-1.3620415,-1.6742843,-1.7886128,1.3620415,adenocarcinoma
ST3GAL5,-2.2820513,-1.4734061,-1.3607882,-1.7054152,1.3607882,adenocarcinoma
LRRC4,1.6676733,1.3585038,1.5213954,1.5158576,1.3585038,escamoso
LMNB2,1.8921674,1.3536305,1.3616399,1.5358127,1.3536305,escamoso
KCNG1,1.7853488,1.3970895,1.3472703,1.509903,1.3472703,escamoso
PPP1R9A,-2.1605208,-1.3447235,-1.6775576,-1.7276006,1.3447235,adenocarcinoma
PARL,2.036692,1.3445913,1.4667507,1.6160113,1.3445913,escamoso
FOXN1,1.86027,1.3433698,1.7581636,1.6539345,1.3433698,escamoso
SMIM22,-2.3466122,-1.3428398,-1.3500893,-1.6798471,1.3428398,adenocarcinoma
PNMA2,-1.7203953,-1.3426894,-1.4957721,-1.519619,1.3426894,adenocarcinoma
FAM83F,2.1177123,1.7283678,1.342598,1.7295593,1.342598,escamoso
DLX6,1.934881,1.4629285,1.3404917,1.5794338,1.3404917,escamoso
LOC100506119,2.0570588,1.3399491,1.8647567,1.7539215,1.3399491,escamoso
NUP50-AS1,1.339561,1.3981776,1.5004517,1.4127301,1.339561,escamoso
OCLN,-1.9150544,-1.3390739,-1.3673695,-1.5404993,1.3390739,adenocarcinoma
DYNC1I1,1.823519,1.3370495,1.3414947,1.5006877,1.3370495,escamoso
YEATS2,2.1777103,1.3364577,1.7836899,1.7659526,1.3364577,escamoso
MAP6D1,1.665848,1.3329098,1.509884,1.5028806,1.3329098,escamoso
UPK1B,2.282531,1.3878429,1.3325465,1.6676401,1.3325465,escamoso
ALG3,1.8349733,1.3356954,1.3321139,1.5009274,1.3321139,escamoso
GOLT1A,-2.4121528,-1.329895,-1.5685899,-1.7702125,1.329895,adenocarcinoma
PARM1,-1.5884007,-1.3659962,-1.3282018,-1.4275328,1.3282018,adenocarcinoma
C3orf58,2.3749003,1.328035,2.6092741,2.1040697,1.328035,escamoso
CADPS2,-2.2962928,-1.3244672,-1.9294696,-1.8500766,1.3244672,adenocarcinoma
ACOX2,-2.2168365,-1.3230356,-1.4086285,-1.6495003,1.3230356,adenocarcinoma
SERPINB2,2.509807,1.3214121,1.5164177,1.7825457,1.3214121,escamoso
BTBD11,1.7467033,1.7533973,1.3205683,1.6068897,1.3205683,escamoso
HRAS,2.2296002,1.3194777,1.7103829,1.7531537,1.3194777,escamoso
CLDN3,-2.4130874,-1.3152032,-1.9599344,-1.8960749,1.3152032,adenocarcinoma
ALOX12,1.805828,1.6931506,1.3144351,1.6044712,1.3144351,escamoso
CENPN,1.7139144,1.3139161,1.645166,1.5576655,1.3139161,escamoso
ABCF3,1.8656142,1.4044129,1.3137479,1.527925,1.3137479,escamoso
FABP5,2.306109,1.3134294,2.0550356,1.8915247,1.3134294,escamoso
PAX6,2.3398669,1.6600931,1.305197,1.7683855,1.305197,escamoso
NDUFA4L2,1.782254,1.304961,1.7722936,1.6198362,1.304961,escamoso
ACAT2,1.5965757,1.303199,1.5073501,1.4690417,1.303199,escamoso
SFN,2.803876,1.302936,1.5181559,1.8749894,1.302936,escamoso
CEACAM6,-1.6880814,-1.3014071,-1.4778839,-1.4891242,1.3014071,adenocarcinoma
CHAF1A,1.8770725,1.297681,1.9481168,1.7076235,1.297681,escamoso
CD63,-1.9123613,-1.2972195,-1.6214596,-1.6103468,1.2972195,adenocarcinoma
AP2M1,2.248738,1.5380625,1.2970896,1.69463,1.2970896,escamoso
RBM47,-2.2225542,-1.3911121,-1.2967646,-1.6368103,1.2967646,adenocarcinoma
LOC101060179,2.0470295,1.370511,1.2945718,1.5707041,1.2945718,escamoso
LOC100130691,1.559302,1.2945067,1.5527383,1.4688491,1.2945067,escamoso
BLCAP,1.7829205,1.2933344,1.6468929,1.5743827,1.2933344,escamoso
LGALS7,2.0769992,1.7594837,1.2932022,1.7098951,1.2932022,escamoso
HES2,1.8072464,1.2920405,1.7578187,1.6190352,1.2920405,escamoso
TRA2B,1.7059451,1.2919052,1.4752437,1.4910313,1.2919052,escamoso
YBX3,2.198187,1.2864994,1.3502604,1.6116489,1.2864994,escamoso
KRTDAP,1.5851421,1.2864257,1.3004764,1.3906814,1.2864257,escamoso
NHSL1,1.3309488,1.4056048,1.2862763,1.3409433,1.2862763,escamoso
PON3,-1.8374935,-1.2862245,-1.6167296,-1.5801492,1.2862245,adenocarcinoma
KREMEN1,1.7224709,1.4463497,1.2831602,1.4839935,1.2831602,escamoso
CCL26,1.2825981,1.5350285,1.7264925,1.5147063,1.2825981,escamoso
