ID_REF,GSE118370,GSE18842,GSE19188,GSE19804,GSE23066,GSE31210,GSE40791,GSE7670,d_Media,d_Minima_Abs,Direccion
RAMP3,-2.7821536,-3.6640918,-2.9913833,-2.333536,-1.9886583,-2.4679797,-2.0783703,-4.1056204,-2.801474,1.9886583,sano
CFD,-2.2087414,-3.4254482,-2.7823074,-2.1039991,-1.6973137,-1.8574921,-3.922382,-4.3253965,-2.7903852,1.6973137,sano
VIPR1,-5.1714478,-2.5211897,-2.334065,-1.7760804,-1.7901227,-1.5940951,-3.55187,-3.4403963,-2.7724085,1.5940951,sano
AKAP12,-3.3608596,-1.87268,-1.8562435,-1.7752714,-1.4978056,-1.7384514,-3.2678514,-2.365752,-2.2168643,1.4978056,sano
RASL12,-2.3944504,-2.4095757,-2.6849353,-1.7632035,-1.4891894,-1.9741133,-2.7328324,-3.0867555,-2.316882,1.4891894,sano
FGFR4,-2.2802362,-3.7367013,-1.6377546,-1.8348876,-1.4365044,-2.0339737,-2.9695895,-4.2972274,-2.5283592,1.4365044,sano
QKI,-5.105729,-2.6329298,-2.8649423,-2.583024,-1.4110644,-1.9196304,-8.531638,-4.6941137,-3.717884,1.4110644,sano
ABCA8,-2.405458,-4.6789246,-3.077506,-1.94994,-1.4038043,-1.5541066,-4.170407,-4.223957,-2.933013,1.4038043,sano
PROS1,-1.6688362,-2.30252,-2.3623369,-1.4857643,-2.4852765,-1.4014938,-7.701701,-1.8681066,-2.6595044,1.4014938,sano
STARD13,-3.1328344,-3.5690658,-3.0587993,-2.365129,-1.3857253,-2.659786,-10.476742,-3.2439628,-3.7365057,1.3857253,sano
TAL1,-3.0249722,-3.2399564,-2.620548,-2.7027225,-1.3682234,-2.768432,-4.19021,-2.9485574,-2.8579526,1.3682234,sano
COL11A1,1.3674431,2.700677,2.6245751,1.881846,1.447181,1.6105951,2.9256575,1.9881971,2.0682714,1.3674431,enfermo
LIFR,-1.3434852,-2.2173097,-1.9489295,-1.692586,-1.4311098,-1.6868489,-4.355958,-2.7940402,-2.1837833,1.3434852,sano
MFAP4,-2.9099944,-2.8652084,-2.707807,-1.9279438,-2.0836403,-1.3376732,-1.5535563,-1.9194983,-2.163165,1.3376732,sano
GDF10,-2.2881017,-2.3594441,-2.7956827,-2.092156,-1.3096241,-1.7360896,-3.15659,-2.1580422,-2.2369664,1.3096241,sano
TRAP1,1.3340821,2.4875968,1.9936544,1.3515546,1.3095561,1.6872265,6.5008116,2.2001069,2.3580737,1.3095561,enfermo
TMOD1,-2.456653,-4.5131354,-2.3430862,-2.0620666,-1.7657024,-1.3006004,-2.1622884,-2.7018447,-2.413172,1.3006004,sano
BCHE,-2.205671,-1.2611156,-1.5711852,-1.5686177,-1.4748902,-1.4999714,-5.053315,-4.335529,-2.3712869,1.2611156,sano
ASPA,-3.3980587,-4.069645,-2.9617083,-2.47106,-1.2607679,-2.063035,-3.265096,-5.2992525,-3.098578,1.2607679,sano
COL10A1,3.4031343,2.6996856,2.2756026,3.046294,1.2566961,3.202197,5.7950897,3.1714194,3.1062648,1.2566961,enfermo
ROBO4,-3.6145518,-3.3723693,-2.8690963,-2.8397412,-1.2469417,-2.7035084,-4.8711987,-2.7627628,-3.0350213,1.2469417,sano
ATP1A2,-2.1432476,-1.3515037,-2.5950632,-1.3409536,-1.2387084,-1.3143489,-2.4887087,-1.9944143,-1.8083686,1.2387084,sano
ZBTB16,-1.4665935,-2.0405412,-1.38762,-1.2323228,-1.250471,-1.8114637,-1.8001112,-2.2351434,-1.6530333,1.2323228,sano
PIAS3,1.9211626,2.0234482,1.3129628,1.6081661,1.2531441,1.2270721,5.866746,2.1971781,2.176235,1.2270721,enfermo
MEA1,1.2218767,1.2221853,1.9036992,1.4241605,2.7832797,1.3722965,1.6733779,1.2083447,1.6011525,1.2083447,enfermo
STX11,-2.1076684,-4.037875,-3.283464,-2.6807954,-1.2114776,-2.3868392,-10.818857,-1.2035677,-3.4663181,1.2035677,sano
SERPING1,-1.9049175,-2.0189316,-2.027044,-1.587646,-1.2012419,-1.566789,-3.0647013,-2.542529,-1.989225,1.2012419,sano
ADAMTS8,-1.9432801,-5.2166557,-3.241238,-2.6184525,-1.1970816,-1.5086378,-3.1443439,-2.4028869,-2.6590722,1.1970816,sano
ZDHHC13,1.3465573,1.6591511,1.4013855,1.1940218,1.5768772,1.5335815,3.7852948,1.3620638,1.7323666,1.1940218,enfermo
MACF1,-3.8416805,-1.8749291,-2.5134838,-1.316727,-1.1848356,-1.6858978,-1.6763922,-4.0053225,-2.2624085,1.1848356,sano
SCN7A,-2.4214213,-3.8724768,-2.9751382,-1.5854963,-1.9388665,-1.2534848,-3.142772,-1.1746532,-2.2955387,1.1746532,sano
ADH1B,-2.5800626,-4.604728,-3.056184,-1.9358506,-1.3908957,-1.1375169,-2.7282987,-3.2528536,-2.5857987,1.1375169,sano
GPR4,-1.5146135,-1.2558197,-1.3138031,-1.3605273,-1.1152232,-1.946614,-2.2247717,-1.6179647,-1.5436671,1.1152232,sano
FMO2,-3.0148213,-3.580311,-2.8163812,-2.3263195,-1.1088029,-1.8035079,-2.0842428,-5.9258227,-2.8325262,1.1088029,sano
SPATS2,1.1786336,3.0147283,2.5611753,1.5903178,1.0849222,1.2197407,2.6864715,2.035264,1.9214066,1.0849222,enfermo
CHRDL1,-1.5951195,-3.3246844,-3.080716,-1.576888,-1.0759882,-1.1801027,-2.7233562,-2.5164952,-2.1341686,1.0759882,sano
CASQ2,-1.0728903,-2.9954796,-2.2259896,-1.3055619,-1.2252344,-1.1850885,-3.6942897,-1.7523257,-1.9321073,1.0728903,sano
ARHGEF10,-1.0712427,-2.189523,-1.5744654,-1.2195096,-1.3136396,-2.2100537,-2.4630055,-2.8993912,-1.8676038,1.0712427,sano
DTX2,1.8013169,1.375801,1.0711963,1.4303184,1.4141964,1.6898444,1.9978974,1.9295076,1.5887597,1.0711963,enfermo
A2M,-2.0404356,-2.4982283,-2.468014,-1.6778709,-1.2037429,-1.0678055,-2.4655457,-2.5463192,-1.9959952,1.0678055,sano
